Player,Team,#,Nation,Position,Age,Minutes,Goals,Assists,Penalty Shoot on Goal,Penalty Shoot,Total Shoot,Shoot on Target,Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Pass Completion %,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles,Date
Morten Thorsby,Genoa,2,NOR,CM,28-133,45,0,0,0,0,0,0,0,0,13,2,1,0,0.0,0.0,0.2,1,0,2,6,"33,3",0,3,0,0,0,2024-09-15
Ruslan Malinovskyi,Genoa,17,UKR,LM,31-134,45,0,0,0,0,2,2,0,0,43,3,0,0,0.1,0.1,0.1,6,0,36,37,"97,3",8,30,0,0,0,2024-09-15
Aarón Martín,Genoa,3,ESP,"LB,WB",27-146,90,0,0,0,0,1,1,0,0,67,5,1,0,0.0,0.0,0.3,9,1,38,56,"67,9",6,37,6,0,0,2024-09-15
Stefano Sabelli,Genoa,20,ITA,"RB,WB",31-246,90,0,0,0,0,1,0,0,0,61,4,0,0,0.0,0.0,0.0,1,0,26,48,"54,2",2,29,3,3,0,2024-09-15
Johan Vásquez,Genoa,22,MEX,CB,25-329,90,0,0,0,0,2,0,0,0,72,0,1,3,0.1,0.1,0.1,2,0,53,59,"89,8",5,44,3,0,0,2024-09-15
Koni De Winter,Genoa,4,BEL,CB,22-095,90,1,0,0,0,2,2,1,0,59,1,3,0,0.2,0.2,0.1,0,0,41,46,"89,1",2,34,0,0,0,2024-09-15
Alessandro Vogliacco,Genoa,14,ITA,CB,26-001,45,0,0,0,0,1,0,0,0,33,2,0,0,0.2,0.2,0.0,1,0,23,29,"79,3",0,18,0,0,0,2024-09-15
Vitinha,Genoa,9,POR,LW,24-184,45,0,1,0,0,3,1,0,0,22,0,1,0,0.1,0.1,0.2,4,1,10,14,"71,4",2,16,0,3,1,2024-09-15
Pierluigi Gollini,Genoa,95,ITA,GK,29-181,90,0,0,0,0,0,0,0,0,34,0,0,1,0.0,0.0,0.0,1,0,27,30,"90,0",0,18,0,0,0,2024-09-15
Artem Dovbyk,Roma,11,UKR,FW,27-086,80,1,0,0,0,3,3,0,0,23,0,0,0,1.1,1.1,0.0,0,0,9,17,"52,9",0,9,0,1,1,2024-09-15
Eldor Shomurodov,Roma,14,UZB,FW,29-078,10,0,0,0,0,0,0,1,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,"75,0",0,3,0,1,1,2024-09-15
Paulo Dybala,Roma,21,ARG,FW,30-305,61,0,0,0,0,1,0,0,0,51,1,0,1,0.0,0.0,0.7,5,0,34,39,"87,2",4,26,1,3,0,2024-09-15
Tommaso Baldanzi,Roma,35,ITA,FW,21-176,29,0,0,0,0,0,0,0,0,10,1,0,1,0.0,0.0,0.1,3,0,4,4,"100,0",0,4,1,3,1,2024-09-15
Niccolò Pisilli,Roma,61,ITA,DM,19-358,61,0,0,0,0,2,1,1,0,36,2,0,4,0.1,0.1,0.0,4,1,17,21,"81,0",4,18,1,3,0,2024-09-15
Lorenzo Pellegrini,Roma,7,ITA,DM,28-088,29,0,0,0,0,0,0,1,0,16,0,0,0,0.0,0.0,0.1,2,0,8,11,"72,7",0,5,0,2,0,2024-09-15
Bryan Cristante,Roma,4,ITA,DM,29-196,90,0,0,0,0,3,0,0,0,71,3,2,3,0.1,0.1,0.0,0,0,49,57,"86,0",7,26,1,1,1,2024-09-15
Manu Koné,Roma,17,FRA,DM,23-121,90,0,0,0,0,3,0,0,0,49,2,2,1,0.3,0.3,0.0,3,0,31,38,"81,6",3,25,2,1,1,2024-09-15
Alexis Saelemaekers,Roma,56,BEL,WB,25-080,49,0,0,0,0,0,0,0,0,37,4,0,0,0.0,0.0,0.1,2,0,26,31,"83,9",2,18,2,3,2,2024-09-15
Mario Hermoso,Roma,22,ESP,CB,29-089,41,0,0,0,0,0,0,0,0,20,1,1,1,0.0,0.0,0.0,1,0,8,11,"72,7",1,6,0,2,1,2024-09-15
Stephan El Shaarawy,Roma,92,ITA,WB,31-324,61,0,0,0,0,2,1,0,0,25,0,2,0,0.4,0.4,0.1,2,0,14,19,"73,7",0,9,1,1,0,2024-09-15
Zeki Çelik,Roma,19,TUR,WB,27-211,29,0,0,0,0,0,0,0,0,14,2,0,1,0.0,0.0,0.0,0,0,6,8,"75,0",0,3,0,0,0,2024-09-15
Angeliño,Roma,3,ESP,"CB,WB",27-255,90,0,0,0,0,0,0,0,0,87,1,2,1,0.0,0.0,0.1,3,0,62,74,"83,8",3,39,1,2,1,2024-09-15
Obite N'Dicka,Roma,5,CIV,CB,25-026,90,0,0,0,0,1,0,0,0,66,1,1,1,0.1,0.1,0.3,1,0,53,53,"100,0",1,32,0,0,0,2024-09-15
Gianluca Mancini,Roma,23,ITA,CB,28-151,90,0,0,0,0,1,0,0,0,46,1,0,1,0.1,0.1,0.4,2,0,31,40,"77,5",2,23,1,0,0,2024-09-15
Mile Svilar,Roma,99,SRB,GK,25-019,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,25,38,"65,8",0,22,0,0,0,2024-09-15
Mateo Retegui,Atalanta,32,ITA,FW,25-139,69,1,0,0,0,2,1,0,0,22,2,0,0,0.4,0.4,0.1,1,0,9,12,"75,0",1,14,0,1,1,2024-09-15
Mario Pašalić,Atalanta,8,CRO,CM,29-219,21,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.2,3,0,13,15,"86,7",2,7,1,0,0,2024-09-15
Charles De Ketelaere,Atalanta,17,BEL,"AM,FW",23-189,90,1,1,0,0,2,2,0,0,43,0,0,0,0.3,0.3,0.5,4,1,26,36,"72,2",4,26,3,3,0,2024-09-15
Ademola Lookman,Atalanta,11,NGA,AM,26-331,90,1,1,0,0,5,2,0,0,46,4,0,3,0.8,0.8,0.4,8,2,22,28,"78,6",4,28,4,5,5,2024-09-15
Éderson,Atalanta,13,BRA,CM,25-070,90,0,1,0,0,0,0,0,0,62,0,1,1,0.0,0.0,0.2,1,1,42,50,"84,0",6,32,0,3,0,2024-09-15
Marten de Roon,Atalanta,15,NED,"CB,CM",33-170,90,0,0,0,0,0,0,0,0,77,1,0,7,0.0,0.0,0.0,1,1,46,63,"73,0",6,37,0,0,0,2024-09-15
Matteo Ruggeri,Atalanta,22,ITA,WB,22-066,69,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,30,37,"81,1",4,17,1,0,0,2024-09-15
Davide Zappacosta,Atalanta,77,ITA,WB,32-096,21,0,0,0,0,2,1,1,0,19,1,0,0,0.1,0.1,0.0,3,0,11,14,"78,6",1,9,2,2,0,2024-09-15
Raoul Bellanova,Atalanta,16,ITA,WB,24-121,90,0,0,0,0,1,1,0,0,44,2,1,0,0.0,0.0,0.2,3,1,31,35,"88,6",5,12,0,1,0,2024-09-15
Sead Kolašinac,Atalanta,23,BIH,CB,31-087,90,0,0,0,0,1,0,0,0,46,1,1,0,0.0,0.0,0.0,0,0,36,42,"85,7",2,31,3,0,0,2024-09-15
Isak Hien,Atalanta,4,SWE,CB,25-246,45,0,0,0,0,0,0,1,0,33,0,0,1,0.0,0.0,0.0,0,0,26,30,"86,7",1,23,0,0,0,2024-09-15
Marco Brescianini,Atalanta,44,ITA,"AM,CM",24-239,45,0,0,0,0,0,0,0,0,15,1,0,2,0.0,0.0,0.0,0,0,9,10,"90,0",0,10,1,0,0,2024-09-15
Berat Djimsiti,Atalanta,19,ALB,CB,31-209,90,0,0,0,0,0,0,0,0,62,1,2,2,0.0,0.0,0.0,0,0,43,52,"82,7",2,25,0,0,0,2024-09-15
Marco Carnesecchi,Atalanta,29,ITA,GK,24-076,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,21,33,"63,6",0,25,0,0,0,2024-09-15
Moise Kean,Fiorentina,20,ITA,FW,24-200,90,1,0,0,0,4,1,0,0,32,0,0,1,0.8,0.8,0.0,5,0,14,17,"82,4",0,17,2,4,2,2024-09-15
Edoardo Bove,Fiorentina,4,ITA,AM,22-122,73,0,0,0,0,0,0,1,0,25,0,1,0,0.0,0.0,0.0,3,0,8,19,"42,1",0,16,2,2,1,2024-09-15
Riccardo Sottil,Fiorentina,7,ITA,AM,25-104,17,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,7,"57,1",0,6,3,1,0,2024-09-15
Andrea Colpani,Fiorentina,23,ITA,AM,25-127,61,0,0,0,0,2,1,0,0,17,1,0,1,0.1,0.1,0.0,2,0,7,11,"63,6",2,11,0,2,1,2024-09-15
Jonathan Ikone,Fiorentina,11,FRA,AM,26-136,29,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,7,"42,9",1,4,0,1,0,2024-09-15
Rolando Mandragora,Fiorentina,8,ITA,CM,27-078,61,0,0,0,0,1,1,1,0,34,0,0,0,0.0,0.0,0.6,3,0,25,33,"75,8",4,18,0,0,0,2024-09-15
Amir Richardson,Fiorentina,24,MAR,CM,22-235,29,0,0,0,0,0,0,1,0,24,4,0,0,0.0,0.0,0.0,0,0,14,17,"82,4",2,11,1,0,0,2024-09-15
Danilo Cataldi,Fiorentina,32,ITA,CM,30-040,73,0,0,0,0,1,0,0,0,31,3,0,0,0.0,0.0,0.0,0,0,21,25,"84,0",1,15,0,0,0,2024-09-15
Yacine Adli,Fiorentina,29,FRA,CM,24-048,17,0,0,0,0,0,0,0,0,15,0,1,0,0.0,0.0,0.0,0,0,11,14,"78,6",2,10,1,0,0,2024-09-15
Robin Gosens,Fiorentina,21,GER,WB,30-072,90,0,1,0,0,2,1,0,0,57,3,0,0,0.5,0.5,0.7,7,2,35,45,"77,8",4,32,0,1,0,2024-09-15
Dodô,Fiorentina,2,BRA,WB,25-303,90,0,0,0,0,0,0,0,0,56,2,2,3,0.0,0.0,0.0,0,0,31,45,"68,9",5,29,7,4,2,2024-09-15
Cristiano Biraghi,Fiorentina,3,ITA,CB,32-014,90,0,0,0,0,0,0,0,0,61,1,2,1,0.0,0.0,0.0,1,0,48,56,"85,7",2,29,0,0,0,2024-09-15
Luca Ranieri,Fiorentina,6,ITA,CB,25-145,80,0,0,0,0,1,0,0,0,49,0,1,0,0.0,0.0,0.0,1,0,32,39,"82,1",1,22,1,2,1,2024-09-15
Marin Pongračić,Fiorentina,5,CRO,CB,27-004,10,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,7,8,"87,5",0,1,0,0,0,2024-09-15
Lucas Martínez Quarta,Fiorentina,28,ARG,CB,28-128,90,1,0,0,0,1,1,0,0,66,3,0,1,0.5,0.5,0.0,0,0,47,57,"82,5",1,38,0,0,0,2024-09-15
David de Gea,Fiorentina,43,ESP,GK,33-313,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,1,0,26,37,"70,3",0,18,0,0,0,2024-09-15
Che Adams,Torino,18,SCO,FW,28-064,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.1,3,0,15,23,"65,2",0,10,0,0,0,2024-09-15
Duván Zapata,Torino,91,COL,FW,33-167,73,0,0,0,0,2,0,0,0,21,0,0,0,0.1,0.1,0.0,1,0,9,16,"56,3",2,14,1,0,0,2024-09-15
Yann Karamoh,Torino,7,FRA,FW,26-069,17,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,8,"75,0",2,5,0,0,0,2024-09-15
Ivan Ilić,Torino,8,SRB,CM,23-182,73,0,0,0,0,2,0,0,0,41,0,0,0,0.1,0.1,0.3,2,0,26,34,"76,5",3,26,2,0,0,2024-09-15
Gvidas Gineitis,Torino,66,LTU,CM,20-153,17,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,8,11,"72,7",0,8,0,0,0,2024-09-15
Karol Linetty,Torino,77,POL,CM,29-226,61,0,0,0,0,0,0,0,0,35,1,1,1,0.0,0.0,0.0,1,0,20,26,"76,9",2,20,1,1,0,2024-09-15
Adrien Tameze,Torino,61,CMR,CM,30-224,29,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,13,17,"76,5",6,13,1,1,0,2024-09-15
Samuele Ricci,Torino,28,ITA,CM,23-025,90,0,0,0,0,1,0,0,0,55,0,1,0,0.3,0.3,0.0,1,0,43,46,"93,5",10,38,4,0,0,2024-09-15
Valentino Lazaro,Torino,20,AUT,WB,28-175,90,0,0,0,0,0,0,0,0,69,1,0,2,0.0,0.0,0.0,1,0,44,61,"72,1",8,33,0,0,0,2024-09-15
Marcus Pedersen,Torino,16,NOR,WB,24-061,45,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,10,15,"66,7",0,10,2,1,1,2024-09-15
Borna Sosa,Torino,24,CRO,WB,26-238,45,0,0,0,0,0,0,0,0,20,0,1,1,0.0,0.0,0.0,0,0,13,18,"72,2",4,7,0,0,0,2024-09-15
Adam Masina,Torino,5,MAR,CB,30-257,90,0,0,0,0,0,0,0,0,87,2,3,1,0.0,0.0,0.0,0,0,64,71,"90,1",6,48,0,0,0,2024-09-15
Saúl Coco,Torino,23,EQG,CB,25-219,90,0,0,0,0,0,0,0,0,68,0,2,1,0.0,0.0,0.0,0,0,52,59,"88,1",2,29,0,0,0,2024-09-15
Mërgim Vojvoda,Torino,27,KVX,CB,29-227,19,0,0,0,0,0,0,0,0,12,1,0,2,0.0,0.0,0.0,1,0,7,8,"87,5",1,3,0,0,0,2024-09-15
Sebastian Walukiewicz,Torino,4,POL,CB,24-163,71,0,0,0,0,0,0,1,0,54,2,2,1,0.0,0.0,0.0,0,0,40,44,"90,9",4,24,1,1,1,2024-09-15
Vanja Milinković-Savić,Torino,32,SRB,GK,27-208,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,27,37,"73,0",0,22,0,0,0,2024-09-15
Nikola Krstović,Lecce,9,MNE,FW,24-163,90,0,0,0,0,10,5,0,0,33,0,0,0,0.7,0.7,0.0,5,0,10,16,"62,5",0,25,0,3,2,2024-09-15
Ante Rebić,Lecce,3,CRO,LW,30-360,60,0,0,0,0,1,0,0,0,35,0,0,0,0.1,0.1,0.6,4,0,17,27,"63,0",4,19,0,2,1,2024-09-15
Santiago Pierotti,Lecce,50,ARG,LW,23-165,30,0,0,0,0,1,0,0,0,19,0,0,1,0.0,0.0,0.3,2,0,10,15,"66,7",1,9,1,0,0,2024-09-15
Tete Morente,Lecce,7,ESP,RW,27-286,69,0,0,0,0,2,0,1,0,37,1,1,1,0.6,0.6,0.1,4,0,19,25,"76,0",2,19,1,2,0,2024-09-15
Hamza Rafia,Lecce,8,TUN,AM,25-166,21,0,0,0,0,0,0,1,0,12,1,0,0,0.0,0.0,0.0,0,0,9,11,"81,8",1,7,1,1,0,2024-09-15
Medon Berisha,Lecce,5,ALB,AM,20-330,69,0,0,0,0,2,1,0,0,36,1,0,0,0.1,0.1,0.1,6,0,29,33,"87,9",3,21,1,0,0,2024-09-15
Remi Oudin,Lecce,10,FRA,RW,27-302,21,0,0,0,0,1,0,0,0,12,0,1,0,0.0,0.0,0.1,1,0,5,10,"50,0",2,6,0,0,0,2024-09-15
Balthazar Pierret,Lecce,75,FRA,DM,24-123,45,0,0,0,0,0,0,1,0,28,1,0,1,0.0,0.0,0.0,0,0,21,25,"84,0",2,16,0,1,1,2024-09-15
Lassana Coulibaly,Lecce,29,MLI,DM,28-158,45,0,0,0,0,0,0,0,0,19,0,0,1,0.0,0.0,0.0,3,0,15,17,"88,2",2,11,0,1,1,2024-09-15
Ylber Ramadani,Lecce,20,ALB,DM,28-156,90,0,0,0,0,0,0,0,0,57,0,2,1,0.0,0.0,0.0,1,0,43,49,"87,8",4,43,0,3,2,2024-09-15
Antonino Gallo,Lecce,25,ITA,LB,24-254,90,0,0,0,0,1,0,0,0,47,1,0,0,0.0,0.0,0.1,4,0,25,41,"61,0",2,25,2,1,1,2024-09-15
Federico Baschirotto,Lecce,6,ITA,CB,27-361,90,0,0,0,0,0,0,0,0,48,0,2,0,0.0,0.0,0.0,0,0,39,41,"95,1",1,18,0,0,0,2024-09-15
Gaspar,Lecce,4,ANG,CB,26-354,90,0,0,0,0,1,0,0,0,58,1,2,0,0.0,0.0,0.0,0,0,38,47,"80,9",1,29,0,1,1,2024-09-15
Frederic Guilbert,Lecce,12,FRA,RB,29-266,90,0,0,0,0,1,0,0,0,55,1,0,2,0.1,0.1,0.0,2,0,37,48,"77,1",3,31,3,0,0,2024-09-15
Wladimiro Falcone,Lecce,30,ITA,GK,29-156,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,25,36,"69,4",0,24,0,0,0,2024-09-15
Roberto Piccoli,Cagliari,91,ITA,FW,23-232,77,0,0,0,0,3,1,0,0,25,0,0,0,0.2,0.2,0.0,3,0,10,13,"76,9",1,11,0,3,0,2024-09-15
Leonardo Pavoletti,Cagliari,30,ITA,FW,35-294,13,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,3,3,"100,0",0,1,0,0,0,2024-09-15
Gianluca Gaetano,Cagliari,70,ITA,AM,24-133,58,0,0,0,0,2,0,0,0,30,2,0,2,0.1,0.1,0.0,5,0,13,19,"68,4",2,15,1,4,2,2024-09-15
Kingstone Mutandwa,Cagliari,80,ZAM,AM,21-254,32,0,0,0,0,3,0,0,0,15,0,0,0,0.3,0.3,0.0,0,0,8,10,"80,0",0,9,0,1,0,2024-09-15
Zito Luvumbo,Cagliari,77,ANG,AM,22-190,90,0,0,0,0,1,0,0,0,24,0,0,0,0.1,0.1,0.1,3,0,9,19,"47,4",1,15,3,3,1,2024-09-15
Alessandro Deiola,Cagliari,14,ITA,CM,29-045,45,0,0,0,0,0,0,0,0,25,1,1,0,0.0,0.0,0.0,0,0,13,22,"59,1",2,6,0,0,0,2024-09-15
Michel Ndary Adopo,Cagliari,8,FRA,CM,24-058,45,0,0,0,0,0,0,0,0,23,0,1,0,0.0,0.0,0.0,1,0,21,22,"95,5",0,13,0,1,1,2024-09-15
Răzvan Marin,Cagliari,18,ROU,CM,28-115,76,0,0,0,0,2,1,0,0,46,1,0,0,0.1,0.1,0.2,6,0,31,42,"73,8",4,16,1,1,1,2024-09-15
Antoine Makoumbou,Cagliari,29,CGO,CM,26-059,14,0,0,0,0,0,0,0,0,20,2,0,0,0.0,0.0,0.0,0,0,16,19,"84,2",0,9,1,0,0,2024-09-15
Tommaso Augello,Cagliari,3,ITA,WB,30-016,90,0,0,0,0,0,0,0,0,60,3,0,0,0.0,0.0,0.1,3,0,38,50,"76,0",6,24,0,1,0,2024-09-15
Paulo Azzi,Cagliari,37,BRA,WB,30-062,58,0,0,0,0,2,1,0,0,35,1,1,2,0.0,0.0,0.1,3,0,17,25,"68,0",1,14,0,1,0,2024-09-15
Nadir Zortea,Cagliari,19,ITA,WB,25-088,32,0,0,0,0,1,0,0,0,20,0,0,1,0.0,0.0,0.0,0,0,14,17,"82,4",0,10,0,0,0,2024-09-15
Sebastiano Luperto,Cagliari,6,ITA,CB,28-009,90,0,0,0,0,1,1,0,0,57,1,2,1,0.1,0.1,0.3,2,0,42,48,"87,5",5,25,0,0,0,2024-09-15
Yerry Mina,Cagliari,26,COL,CB,29-358,90,0,0,0,0,4,1,1,0,101,7,0,4,0.2,0.2,0.0,2,0,62,75,"82,7",9,36,1,3,1,2024-09-15
Gabriele Zappa,Cagliari,28,ITA,CB,24-268,90,0,0,0,0,0,0,0,0,65,1,0,3,0.0,0.0,0.0,3,0,43,56,"76,8",6,29,0,3,1,2024-09-15
Simone Scuffet,Cagliari,22,ITA,GK,28-107,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,23,30,"76,7",0,15,0,0,0,2024-09-15
Romelu Lukaku,Napoli,11,BEL,FW,31-125,73,1,2,0,0,2,1,1,0,35,0,0,0,0.9,0.9,0.4,4,2,16,23,"69,6",3,23,1,2,1,2024-09-15
Giovanni Simeone,Napoli,18,ARG,FW,29-072,17,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,1,0,6,8,"75,0",0,5,1,0,0,2024-09-15
Khvicha Kvaratskhelia,Napoli,77,GEO,AM,23-216,73,1,1,0,0,3,1,0,0,45,3,0,1,0.3,0.3,0.8,5,1,21,29,"72,4",4,27,4,2,0,2024-09-15
Scott McTominay,Napoli,8,SCO,"LM,AM",27-282,17,0,0,0,0,0,0,0,0,14,1,1,0,0.0,0.0,0.0,0,0,9,12,"75,0",1,7,2,1,0,2024-09-15
Matteo Politano,Napoli,21,ITA,"AM,RM",31-043,80,0,0,0,0,2,1,0,0,43,0,0,0,0.1,0.1,0.1,5,1,25,35,"71,4",6,29,3,4,1,2024-09-15
David Neres,Napoli,7,BRA,RM,27-196,10,0,1,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.3,1,1,5,5,"100,0",0,0,0,0,0,2024-09-15
Stanislav Lobotka,Napoli,68,SVK,CM,29-295,73,0,0,0,0,1,0,1,0,65,1,1,0,0.0,0.0,0.0,2,0,44,53,"83,0",8,36,2,2,1,2024-09-15
Billy Gilmour,Napoli,6,SCO,CM,23-096,17,0,0,0,0,0,0,0,0,19,2,0,0,0.0,0.0,0.0,1,1,14,15,"93,3",1,8,0,0,0,2024-09-15
Andre-Frank Zambo Anguissa,Napoli,99,CMR,CM,28-304,90,0,0,0,0,0,0,0,0,78,4,2,1,0.0,0.0,0.4,1,0,58,69,"84,1",4,38,3,0,0,2024-09-15
Leonardo Spinazzola,Napoli,37,ITA,WB,31-174,63,0,0,0,0,0,0,0,0,28,0,0,3,0.0,0.0,0.0,1,0,11,21,"52,4",3,9,1,2,2,2024-09-15
Mathías Olivera,Napoli,17,URU,"LB,WB",26-320,27,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,12,14,"85,7",0,10,0,0,0,2024-09-15
Pasquale Mazzocchi,Napoli,30,ITA,"WB,RB",29-050,90,0,0,0,0,0,0,0,0,50,2,2,0,0.0,0.0,0.0,0,0,26,35,"74,3",1,22,1,4,1,2024-09-15
Alessandro Buongiorno,Napoli,4,ITA,CB,25-101,90,1,0,0,0,1,1,0,0,49,3,1,4,0.3,0.3,0.0,0,0,25,34,"73,5",3,19,0,0,0,2024-09-15
Amir Rrahmani,Napoli,13,KVX,CB,30-204,90,0,0,0,0,2,0,0,0,54,3,0,0,0.3,0.3,0.0,0,0,33,38,"86,8",4,11,0,0,0,2024-09-15
Giovanni Di Lorenzo,Napoli,22,ITA,CB,31-042,90,1,0,0,0,2,1,0,0,54,5,2,0,0.1,0.1,0.0,1,1,36,40,"90,0",4,19,0,2,0,2024-09-15
Alex Meret,Napoli,1,ITA,GK,27-177,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,11,23,"47,8",0,10,0,0,0,2024-09-15
Milan Đurić,Monza,11,BIH,FW,34-116,90,0,0,0,0,1,0,0,0,37,0,0,0,0.1,0.1,0.0,0,0,19,31,"61,3",3,14,1,2,2,2024-09-15
Gianluca Caprari,Monza,10,ITA,AM,31-047,61,0,0,0,0,0,0,0,0,33,1,1,1,0.0,0.0,0.0,0,0,21,24,"87,5",2,23,3,2,1,2024-09-15
Dany Mota,Monza,47,POR,AM,26-136,29,1,0,0,0,1,1,1,0,12,0,0,0,0.1,0.1,0.0,2,0,7,9,"77,8",0,8,1,2,2,2024-09-15
Daniel Maldini,Monza,14,ITA,AM,22-340,71,0,0,0,0,1,1,0,0,37,2,0,1,0.0,0.0,0.1,1,0,18,24,"75,0",1,23,4,3,2,2024-09-15
Alessandro Bianco,Monza,42,ITA,CM,21-350,19,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,5,5,"100,0",0,1,0,0,0,2024-09-15
Warren Bondo,Monza,38,FRA,CM,21-000,90,0,0,0,0,1,0,0,0,33,0,0,2,0.0,0.0,0.0,0,0,22,24,"91,7",0,19,0,2,1,2024-09-15
Matteo Pessina,Monza,32,ITA,"CM,AM",27-147,90,0,0,0,0,1,0,0,0,56,0,4,2,0.0,0.0,0.0,1,1,39,47,"83,0",1,36,2,3,0,2024-09-15
Giorgos Kyriakopoulos,Monza,77,GRE,WB,28-223,90,0,0,0,0,0,0,0,0,54,5,2,0,0.0,0.0,0.0,2,0,32,43,"74,4",1,26,4,1,0,2024-09-15
Pedro Pereira,Monza,13,POR,WB,26-237,90,0,0,0,0,0,0,0,0,39,2,0,0,0.0,0.0,0.0,1,0,20,28,"71,4",3,16,1,2,1,2024-09-15
Andrea Carboni,Monza,44,ITA,CB,23-224,90,0,0,0,0,0,0,0,0,59,3,1,1,0.0,0.0,0.0,0,0,45,50,"90,0",2,34,1,0,0,2024-09-15
Pablo Marí,Monza,22,ESP,CB,31-015,90,0,0,0,0,0,0,0,0,62,0,3,1,0.0,0.0,0.0,0,0,49,50,"98,0",0,31,0,1,1,2024-09-15
Armando Izzo,Monza,4,ITA,CB,32-197,90,0,1,0,0,0,0,0,0,60,0,1,1,0.0,0.0,0.1,2,1,44,49,"89,8",3,35,3,1,1,2024-09-15
Stefano Turati,Monza,30,ITA,GK,23-010,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,1,0,29,42,"69,0",0,19,0,0,0,2024-09-15
Lautaro Martínez,Internazionale,10,ARG,FW,27-024,55,0,0,0,0,2,0,0,0,16,0,0,0,0.2,0.2,0.0,0,0,6,9,"66,7",0,9,0,1,0,2024-09-15
Mehdi Taremi,Internazionale,99,IRN,"AM,FW",32-059,35,0,0,0,0,1,0,0,0,15,0,0,1,0.0,0.0,0.0,2,1,10,13,"76,9",0,8,0,0,0,2024-09-15
Marcus Thuram,Internazionale,9,FRA,FW,27-040,73,0,0,0,0,1,0,0,0,17,0,0,2,0.1,0.1,0.0,0,0,10,12,"83,3",3,8,2,0,0,2024-09-15
Marko Arnautović,Internazionale,8,AUT,FW,35-149,17,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,4,5,"80,0",1,2,0,0,0,2024-09-15
Henrikh Mkhitaryan,Internazionale,22,ARM,CM,35-238,55,0,0,0,0,0,0,0,0,57,3,0,0,0.0,0.0,0.0,3,0,38,52,"73,1",4,26,1,1,0,2024-09-15
Piotr Zieliński,Internazionale,7,POL,CM,30-118,35,0,0,0,0,2,0,0,0,56,2,0,0,0.1,0.1,0.1,5,0,44,52,"84,6",9,28,4,0,0,2024-09-15
Kristjan Asllani,Internazionale,21,ALB,CM,22-190,73,0,0,0,0,1,0,0,0,103,3,1,1,0.0,0.0,0.1,3,0,86,95,"90,5",7,70,3,0,0,2024-09-15
Joaquín Correa,Internazionale,11,ARG,AM,30-033,17,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,2,1,5,6,"83,3",2,4,0,0,0,2024-09-15
Davide Frattesi,Internazionale,16,ITA,CM,24-329,90,0,0,0,0,3,0,0,0,34,2,0,0,0.4,0.4,0.0,1,0,25,28,"89,3",1,15,2,1,1,2024-09-15
Federico Dimarco,Internazionale,32,ITA,WB,26-310,90,0,0,0,0,2,0,0,0,84,0,1,0,0.1,0.1,0.7,7,0,62,78,"79,5",5,41,0,0,0,2024-09-15
Matteo Darmian,Internazionale,36,ITA,WB,34-288,55,0,0,0,0,0,0,0,0,31,2,0,0,0.0,0.0,0.0,0,0,23,28,"82,1",0,8,0,0,0,2024-09-15
Denzel Dumfries,Internazionale,2,NED,WB,28-150,35,1,0,0,0,2,2,1,0,18,0,0,0,0.6,0.6,0.0,0,0,7,13,"53,8",1,4,0,3,0,2024-09-15
